Country,Capital City,Latitude,Longitude,Population,Capital Type
Afghanistan,Kabul,34.5289,69.1725,4011770,Capital
Albania,Tiranë (Tirana),41.3275,19.8189,475577,Capital
Algeria,El Djazaïr  (Algiers),36.7525,3.0420,2693542,Capital
American Samoa,Pago Pago,-14.2781,-170.7025,48526,Capital
Andorra,Andorra la Vella,42.5078,1.5211,22614,Capital
Angola,Luanda,-8.8368,13.2343,7774200,Capital
Anguilla,The Valley,18.2170,-63.0578,1402,Capital
Antigua and Barbuda,St. John's,17.1172,-61.8457,20764,Capital
Argentina,Buenos Aires,-34.6051,-58.4004,14966530,Capital
Armenia,Yerevan,40.1820,44.5146,1080324,Capital
Aruba,Oranjestad,12.5240,-70.0270,29877,Capital
Australia,Canberra,-35.2835,149.1281,447692,Capital
Austria,Wien (Vienna),48.2064,16.3707,1900547,Capital
Azerbaijan,Baku,40.3777,49.8920,2285729,Capital
Bahamas,Nassau,25.0582,-77.3431,279668,Capital
Bahrain,Al-Manamah (Manama),26.2154,50.5832,564631,Capital
Bangladesh,Dhaka,23.7104,90.4074,19578421,Capital
Barbados,Bridgetown,13.1000,-59.6167,89201,Capital
Belarus,Minsk,53.9000,27.5667,2004672,Capital
Belgium,Bruxelles-Brussel,50.8467,4.3499,2049510,Capital
Belize,Belmopan,17.2500,-88.7667,22964,Capital
Benin,Cotonou,6.3654,2.4183,685458,Economic Capital
Bermuda,Hamilton,32.2915,-64.7780,10073,Capital
Bhutan,Thimphu,27.4661,89.6419,203297,Capital
Bolivia (Plurinational State of),La Paz,-16.5000,-68.1500,1814087,Seat of Government
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,342577,Capital
Botswana,Gaborone,-24.6545,25.9086,269338,Capital
Brazil,Brasília,-15.7797,-47.9297,4469585,Capital
British Virgin Islands,Road Town,18.4167,-64.6167,15137,Capital
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,40781,Capital
Bulgaria,Sofia,42.6975,23.3242,1272418,Capital
Burkina Faso,Ouagadougou,12.3642,-1.5383,2531381,Capital
Burundi,Bujumbura,-3.3822,29.3644,898968,Capital
Cabo Verde,Praia,14.9215,-23.5087,167504,Capital
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.9160,1952329,Capital
Cameroon,Yaoundé,3.8667,11.5167,3655656,Capital
Canada,Ottawa-Gatineau,45.4166,-75.6980,1363159,Capital
Caribbean Netherlands,Kralendijk,12.1500,-68.2667,11313,Capital
Cayman Islands,George Town,19.2866,-81.3744,34875,Capital
Central African Republic,Bangui,4.3612,18.5550,850946,Capital
Chad,N'Djaména,12.1067,15.0444,1322679,Capital
Channel Islands,St. Helier,49.1880,-2.1049,34386,Capital
Channel Islands,St. Peter Port,49.4598,-2.5353,16271,Capital
Chile,Santiago,-33.4569,-70.6483,6680371,Capital
China,Beijing,39.9075,116.3972,19617963,Capital
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,7428887,Capital
"China, Macao SAR",Macao,22.2006,113.5461,632418,Capital
"China, Taiwan Province of China",Taibei,25.0470,121.5457,2705791,Others
Colombia,Bogotá,4.6097,-74.0818,10574409,Capital
Comoros,Moroni,-11.7022,43.2551,62351,Capital
Congo,Brazzaville,-4.2658,15.2832,2229693,Capital
Cook Islands,Rarotonga,-21.2300,-159.7600,13067,Capital
Costa Rica,San José,9.9278,-84.0807,1357745,Capital
